old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
89616,2.0,phone,town,doctor,hand,1,a small towns way of contacting their local doctor,3.0,14.0
gpt5_run3,0.0,room,mother,world,woman,2,"Major elements in a coming-of-age story about a young woman (her room, her mother, her world, and her identity as a woman)",3.0,15.0
gpt5_run2,2.0,birthday,state,pain,meeting,3,Topics you might discuss during a therapy or counseling session,3.0,25.0
93556,2.0,bed,dog,blood,office,4,Things an EMT wants to know the location of before they enter a house.,0.0,39.0
deepseek-chat_run3,2.0,hair,food,coffee,street,5,"Things that can be described as ""greasy""",1.0,40.0
88939,2.0,house,girl,baby,boy,6,All things that little kids like to either play with or as during recess,1.0,74.0
87226,0.0,doc,evidence,summer,trip,7,themes in a vacation mystery novel,1.0,9.0
93556,2.0,afternoon,dude,murder,message,8,Important info found in an investigative police report.,1.0,30.0
93133,2.0,part,week,word,number,9,"All ""parts"" of something. Part literally meaning park, week: part of a month/year, word: part of a sentence, number: could be a number part of a bigger number",3.0,71.0
87226,0.0,deal,rest,second,end,12,"something you might ""take""",1.0,28.0
92985,2.0,book,child,city,daughter,13,school,2.0,29.0
93444,2.0,plane,mouth,officer,floor,14,Things that you would see at an airport,0.0,66.0
94916,0.0,furniture,towel,clown,corn,15,Recognizable textures,4.0,13.0
93444,2.0,party,death,couple,case,16,Things that can go sour quickly,4.0,17.0
95983,2.0,funeral,taste,arrest,unit,17,murder,1.0,74.0
96049,2.0,park,camera,chicken,wine,18,restaurant,1.0,55.0
95859,0.0,shot,drink,picture,movie,19,A night out with friends,0.0,73.0
gpt5_run3,2.0,ground,gold,nose,professor,20,Things you can dig (literally or figuratively),3.0,15.0
deepseek-chat_run2,2.0,security,system,information,order,21,Components of a cybersecurity framework,1.0,65.0
93532,0.0,lunch,mama,court,lieutenant,22,What you may find in a detective film,4.0,10.0
deepseek-chat_run1,0.0,husband,captain,dinner,line,23,"Roles or titles that can be preceded by the word ""skipper""",3.0,15.0
gpt5_run1,0.0,building,army,train,card,24,"Things that are central objects in popular collecting/model-building hobbies (model buildings, miniature armies, model trains, and collectible card games)",3.0,25.0
deepseek-chat_run2,2.0,defense,safety,command,permission,26,Types of authorizations or clearances in a security context,3.0,40.0
94894,1.0,east,enemy,hero,mission,27,police breaking up gang activity in New York,0.0,10.0
94257,1.0,ball,boat,hotel,earth,28,Cruise ship,4.0,2.0
93482,1.0,temperature,pattern,oxygen,movement,29,Things that can be used describe the flow of earths climate,1.0,59.0
93482,1.0,wedding,colonel,agent,club,30,Things that can be seen in a mission impossible movie,1.0,33.0
94914,1.0,lawyer,bank,letter,college,31,Bar,3.0,30.0
94894,1.0,table,paper,eye,road,32,permit test,0.0,94.0
88379,1.0,shower,planet,candy,bedroom,33,spaces,3.0,28.0
96097,1.0,apartment,window,bag,box,34,things that can be locked,2.0,49.0
94257,1.0,option,heavens,punishment,stress,35,College,4.0,0.0
96097,1.0,request,anger,solution,confession,36,things people can express,2.0,62.0
92984,1.0,middle,partner,angel,folks,37,wedding,4.0,7.0
94257,1.0,difference,situation,service,pleasure,38,Customer service,3.0,26.0
gpt5_run3,1.0,king,piece,boss,class,39,Common English nouns that are also used as verbs,3.0,20.0
gpt5_run2,1.0,killer,surprise,space,idiot,40,"Sensational buzzwords often used in clickbait-style online titles (crime, shock, awe, and stupidity)",3.0,25.0
gpt5_run1,1.0,neck,arm,hat,computer,41,"Places or items people commonly personalize with visible designs (tattoos, patches, stickers, or decals)",3.0,35.0
94894,1.0,board,camp,stage,shop,42,stuff at a camping shop,2.0,7.0
94257,1.0,star,store,truck,list,43,Walmart,2.0,62.0
92946,1.0,area,ride,top,report,44,SixFlags,0.0,93.0
87744,1.0,teacher,cell,queen,glass,45,container,3.0,24.0
88379,1.0,ice,brain,beer,fish,46,water,3.0,23.0
deepseek-chat_run3,1.0,blade,rocket,patch,robot,47,Items that can be part of a futuristic soldier's equipment,3.0,40.0
gpt5_run1,1.0,ship,horse,tv,clothes,48,Things you might use or encounter on a cruise vacation,1.0,35.0
95581,2.0,chest,rain,bird,cake,49,types of baked goods,4.0,0.0
96162,3.0,spot,client,pal,north,50,Showing an apartment as a realtor,4.0,11.0
