old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
88939,2.0,phone,town,hand,doctor,1,All things that can be found in a small town,3.0,71.0
94821,2.0,world,room,woman,mother,2,Things related to a female president,1.0,15.0
93556,2.0,pain,birthday,state,meeting,3,Anniversary of a new Capitol building being acknowledged at a conference full of old white dudes.,2.0,14.0
95983,2.0,dog,blood,bed,office,4,movie,3.0,21.0
gpt5_run1,0.0,hair,food,coffee,street,5,"Common types of debris you might see on a busy city street (e.g., litter and waste)",2.0,35.0
94749,0.0,house,baby,girl,boy,6,family,0.0,76.0
94821,2.0,doc,summer,evidence,trip,7,A diagnosis of a foreign disease,1.0,14.0
92985,2.0,dude,murder,afternoon,message,8,arrest,1.0,75.0
93532,0.0,word,part,week,number,9,Units for measurement,1.0,75.0
93133,2.0,second,rest,end,deal,12,They can all mean part of something. Like a part of something that's left,3.0,27.0
94821,2.0,child,book,daughter,city,13,Elementary school,1.0,27.0
92985,2.0,mouth,plane,floor,officer,14,verb,4.0,17.0
gpt5_run1,0.0,furniture,clown,towel,corn,15,Things you might find at a summer backyard barbecue or childrens birthday party,3.0,25.0
93556,2.0,death,case,couple,party,16,A murder mystery,0.0,75.0
93556,2.0,funeral,unit,taste,arrest,17,"A romcom about a cop and a criminal falling in love but the cop dies in action, leaving the criminal alone and mourning.",1.0,19.0
88939,2.0,park,camera,chicken,wine,18,All things that could be found on an evening picnic date,0.0,73.0
87226,0.0,drink,picture,shot,movie,19,something that you might take over and over again,3.0,27.0
93532,0.0,professor,gold,nose,ground,20,climate class,1.0,78.0
94916,0.0,information,order,security,system,21,Important to get in prisons,2.0,38.0
deepseek-chat_run3,2.0,court,lieutenant,lunch,mama,22,"Things that can be preceded by the word ""county""",1.0,40.0
gpt5_run2,2.0,husband,captain,dinner,line,23,Things you might encounter at the captains formal dinner on a cruise ship,3.0,25.0
94749,0.0,building,train,army,card,24,children toys,1.0,65.0
gpt5_run3,0.0,defense,safety,command,permission,26,Responsibilities of a military officer during an operation,2.0,45.0
deepseek-chat_run1,1.0,hero,enemy,east,mission,27,Elements of a classic spy movie plot,1.0,65.0
gpt5_run3,1.0,hotel,ball,boat,earth,28,"Everyday objects that each have a dedicated standard smartphone emoji (hotel building, sports ball, boat, globe/Earth)",2.0,40.0
