old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
93444,2.0,town,doctor,hand,phone,1,Things that almost everyone has,3.0,37.0
95983,2.0,room,mother,woman,world,2,home,1.0,50.0
gpt5_run3,2.0,birthday,state,pain,meeting,3,Information you might give or discuss during a doctors appointment or medical intake,3.0,25.0
93445,2.0,office,dog,blood,bed,4,helper,1.0,41.0
95983,2.0,hair,street,coffee,food,5,service,1.0,75.0
94916,0.0,boy,baby,girl,house,6,things you acquire when you are in your late 20s and early 30s,1.0,50.0
94916,0.0,doc,trip,summer,evidence,7,"Proof of a crime that took place away from home, is put into a sheet online and used once the police find it, to find the person who committed the crime.",1.0,8.0
89616,2.0,murder,dude,afternoon,message,8,certain aspects of a suspect in a killing,3.0,28.0
93556,2.0,week,word,number,part,9,Words found in the info about New York Times Games.,1.0,14.0
93532,0.0,rest,deal,end,second,12,a portion of a whole,2.0,62.0
95590,0.0,book,child,daughter,city,13,Events in a story,1.0,70.0
gpt5_run2,2.0,mouth,floor,plane,officer,14,Things you directly interact with while going through airport security and boarding a flight,3.0,15.0
95859,0.0,furniture,corn,clown,towel,15,The corn palace,3.0,4.0
88939,2.0,case,death,couple,party,16,All things that tend to appear in murder mysteries involving rich families,1.0,64.0
deepseek-chat_run1,2.0,funeral,arrest,unit,taste,17,"Things that can be preceded by the word ""after"" to form a common phrase",3.0,25.0
95983,2.0,wine,camera,chicken,park,18,picnic,2.0,76.0
94916,0.0,movie,picture,shot,drink,19,Going out to a party where they show a show/movie,3.0,57.0
94821,2.0,nose,gold,professor,ground,20,A flower scientist's garden,1.0,21.0
deepseek-chat_run1,0.0,security,system,information,order,21,Components of a cybersecurity framework,1.0,65.0
94821,2.0,court,lunch,lieutenant,mama,22,Recess at a Court-Martial trial,3.0,8.0
deepseek-chat_run2,2.0,husband,captain,dinner,line,23,"Roles or titles that can be preceded by the word ""head""",1.0,40.0
gpt5_run3,0.0,building,army,train,card,24,"Types of themed sets you might buy as toys or collectibles (building set, army set, train set, card set)",3.0,40.0
deepseek-chat_run1,0.0,defense,safety,command,permission,26,Computer security concepts,1.0,70.0
89597,1.0,hero,east,mission,enemy,27,war,2.0,50.0
gpt5_run2,1.0,hotel,ball,boat,earth,28,Common images used in advertisements for tropical beach vacations,3.0,25.0
gpt5_run2,1.0,oxygen,temperature,movement,pattern,29,Health metrics commonly tracked by modern fitness and sleep wearables,2.0,40.0
87744,1.0,colonel,club,agent,wedding,30,cult,4.0,22.0
gpt5_run1,1.0,letter,college,lawyer,bank,31,"Sources and form of official written decisions that can significantly affect your life (letters from a college, lawyer, or bank)",3.0,30.0
93926,1.0,road,paper,table,eye,32,things that are easy to draw,0.0,46.0
89597,1.0,shower,candy,bedroom,planet,33,Things with more than 5 letters,4.0,5.0
95028,1.0,box,window,bag,apartment,34,things to consider/involved in moving,2.0,20.0
gpt5_run1,1.0,heavens,stress,punishment,option,35,Concepts often discussed in religious sermons about moral choices and their consequences,3.0,25.0
