old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
92985,2.0,town,doctor,phone,hand,1,ambulance,1.0,75.0
87226,0.0,world,woman,mother,room,2,metaphorical characteristics of a womb,1.0,18.0
93445,2.0,state,meeting,birthday,pain,3,wedding,3.0,2.0
92985,2.0,dog,office,bed,blood,4,vet,0.0,94.0
gpt5_run3,2.0,hair,food,coffee,street,5,"Businesses and features commonly found along a busy city street (hair salon, food restaurant, coffee shop, and the street itself)",1.0,55.0
93133,2.0,boy,house,girl,baby,6,"can put the word ""play"" in front of all of them",1.0,88.0
deepseek-chat_run1,2.0,trip,summer,doc,evidence,7,"Things that can be ""documented"" or recorded",1.0,65.0
96049,2.0,message,afternoon,murder,dude,8,a murder,3.0,36.0
deepseek-chat_run1,0.0,word,number,week,part,9,Basic units of measurement or classification in different contexts,1.0,65.0
95859,0.0,end,second,deal,rest,12,Congress,1.0,51.0
93445,2.0,book,child,city,daughter,13,the giving tree,4.0,1.0
95590,0.0,floor,mouth,plane,officer,14,Things that have a similar function,2.0,31.0
deepseek-chat_run1,2.0,furniture,clown,towel,corn,15,Items that might be found in a circus-themed hotel room.,3.0,25.0
93532,0.0,couple,case,party,death,16,a crime movie,2.0,100.0
89616,2.0,funeral,unit,taste,arrest,17,crime scene,4.0,3.0
deepseek-chat_run3,2.0,camera,chicken,wine,park,18,Items you might pack for a picnic date,1.0,65.0
gpt5_run1,2.0,drink,shot,movie,picture,19,"Nouns that commonly follow the verb take in everyday phrases (take a drink, take a shot, take a movie, take a picture)",3.0,25.0
93556,2.0,ground,gold,nose,professor,20,Things that can be dug into.,1.0,16.0
gpt5_run1,2.0,security,system,information,order,21,"Business-related nouns that are commonly combined with management (security management, system management, information management, order management)",3.0,25.0
94749,0.0,lunch,lieutenant,court,mama,22,places you could get in trouble with,4.0,5.0
95590,0.0,line,dinner,husband,captain,23,Leaders,1.0,64.0
94916,0.0,card,army,building,train,24,Hard to access,3.0,25.0
88939,2.0,command,safety,defense,permission,26,All things that can be found in relation to password encrypted code,0.0,37.0
gpt5_run2,1.0,hero,enemy,east,mission,27,Key elements commonly mentioned in a quest description in an adventure or role-playing game,1.0,45.0
94894,1.0,hotel,earth,boat,ball,28,World Cup training,2.0,11.0
gpt5_run3,1.0,oxygen,temperature,movement,pattern,29,Physiological variables commonly monitored during a sleep study (polysomnography),3.0,20.0
gpt5_run1,1.0,club,colonel,wedding,agent,30,Common characters and settings that often appear in James Bond-style spy movies,3.0,35.0
94257,1.0,lawyer,college,letter,bank,31,Law school acceptance and student loans,2.0,49.0
89597,1.0,eye,road,table,paper,32,going to dinner,3.0,10.0
93926,1.0,candy,shower,bedroom,planet,33,words that can be paired with bar,1.0,65.0
