old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
93133,2.0,doctor,town,phone,hand,1,They all have something to do with a phone I think,4.0,13.0
deepseek-chat_run3,2.0,room,mother,world,woman,2,"Things that can be described as ""nurturing"" or ""encompassing"" in a metaphorical sense",3.0,25.0
deepseek-chat_run1,2.0,birthday,state,pain,meeting,3,Unpleasant or stressful events that can be anticipated or scheduled,3.0,40.0
deepseek-chat_run2,0.0,dog,blood,bed,office,4,Things that can be associated with a veterinarian's workplace,1.0,65.0
93532,0.0,street,hair,coffee,food,5,What a girl would do in her weekend,2.0,61.0
93532,0.0,baby,girl,house,boy,6,nouns,3.0,88.0
deepseek-chat_run2,2.0,trip,summer,doc,evidence,7,"Things that can be described as ""cold"" in a metaphorical sense",3.0,25.0
gpt5_run1,0.0,murder,dude,afternoon,message,8,"Details you might record in a detectives case report about a crime (crime itself, suspect, time, and key evidence)",2.0,35.0
96049,2.0,word,part,number,week,9,day of the week,3.0,38.0
95983,2.0,end,rest,deal,second,12,cards,2.0,50.0
gpt5_run3,0.0,child,daughter,book,city,13,"Things that are commonly described as lost (e.g., lost child, lost daughter, lost book, lost city)",2.0,45.0
deepseek-chat_run1,0.0,mouth,floor,plane,officer,14,"Things that can be ""on the"" in common phrases (e.g., ""on the mouth,"" ""on the floor,"" ""on the plane,"" ""on the officer"")",3.0,20.0
gpt5_run3,2.0,furniture,clown,towel,corn,15,Things you might find at a childrens outdoor birthday party (with games and food),2.0,30.0
95983,2.0,death,case,party,couple,16,murder,2.0,22.0
gpt5_run1,0.0,funeral,arrest,unit,taste,17,Aspects of life that are strongly shaped by cultural norms and differ widely between societies,3.0,15.0
93444,2.0,camera,chicken,wine,park,18,Things that would make a good picnic,0.0,75.0
95590,0.0,picture,shot,drink,movie,19,Things you would find in a film,3.0,31.0
92985,2.0,nose,gold,ground,professor,20,archolgist,1.0,75.0
93444,2.0,system,order,security,information,21,Things that computers have,0.0,64.0
93444,2.0,mama,lieutenant,court,lunch,22,Things that may be at a school,1.0,27.0
gpt5_run1,2.0,husband,captain,dinner,line,23,Things you might talk about when describing a cruise vacation with your spouse,3.0,25.0
93445,2.0,card,train,building,army,24,army,1.0,46.0
