old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
96049,2.0,doctor,hand,town,phone,1,doctor office,2.0,43.0
gpt5_run2,2.0,room,mother,world,woman,2,"Nouns that commonly form phrases when preceded by other (the other room, other mother, other world, the other woman)",3.0,25.0
95590,0.0,meeting,state,birthday,pain,3,Dates of things,1.0,28.0
gpt5_run1,2.0,dog,blood,bed,office,4,Things commonly found in a hospital setting,3.0,20.0
89616,2.0,food,coffee,street,hair,5,farmers market,3.0,6.0
deepseek-chat_run3,2.0,house,boy,baby,girl,6,Members of a nuclear family,1.0,75.0
92985,2.0,evidence,trip,doc,summer,7,drown,1.0,73.0
gpt5_run2,2.0,murder,dude,afternoon,message,8,"Details recorded in a detectives case file about a homicide (crime, victim, time of day, and key piece of evidence)",2.0,40.0
deepseek-chat_run3,2.0,word,number,week,part,9,Components of a basic data entry form field,3.0,25.0
89616,2.0,rest,deal,second,end,12,something being over,4.0,1.0
93556,2.0,child,city,daughter,book,13,Words you might find in an English learning textbook.,3.0,19.0
95983,2.0,plane,mouth,floor,officer,14,accident,3.0,17.0
94821,2.0,furniture,towel,corn,clown,15,things in a clowns house,3.0,12.0
95859,0.0,case,couple,party,death,16,Funeral,1.0,57.0
deepseek-chat_run2,2.0,funeral,arrest,unit,taste,17,"Things that can be preceded by the word ""after"" to describe an experience or event.",3.0,25.0
deepseek-chat_run2,2.0,camera,chicken,wine,park,18,Items you might bring on a picnic date,1.0,70.0
gpt5_run2,0.0,drink,shot,movie,picture,19,Things that commonly follow the phrase take a ...,2.0,60.0
95983,2.0,ground,professor,nose,gold,20,treasure hunt,3.0,20.0
gpt5_run3,0.0,security,system,information,order,21,"Common modules/settings sections in business or website administration software (e.g., ERP or e-commerce admin panels)",3.0,25.0
96049,2.0,court,mama,lunch,lieutenant,22,army,3.0,36.0
93556,2.0,line,captain,husband,dinner,23,Features for an actor in a show.,2.0,34.0
93133,2.0,building,card,train,army,24,These are all nouns,4.0,28.0
96049,2.0,permission,defense,safety,command,26,army,2.0,52.0
deepseek-chat_run2,1.0,hero,enemy,east,mission,27,Elements commonly found in a classic spy or action movie plot,1.0,65.0
92946,1.0,boat,hotel,earth,ball,28,Things that can be round/balls,1.0,60.0
94257,1.0,movement,oxygen,temperature,pattern,29,Exercise performance statistics,1.0,54.0
gpt5_run2,1.0,club,colonel,wedding,agent,30,"Elements you might find in a spy thriller scene set at a high-society wedding in an exclusive club (the setting is the club, the groom or villain is a colonel, and the protagonist is a secret agent at the wedding)",3.0,20.0
gpt5_run2,1.0,letter,college,lawyer,bank,31,"Things a prospective law student typically deals with when starting college (acceptance letters, the college itself, future career as a lawyer, and banks for student loans)",3.0,25.0
gpt5_run1,1.0,eye,road,table,paper,32,"Things that have corners (e.g., corner of your eye, street corner, table corner, corner of a sheet of paper)",1.0,40.0
94894,1.0,shower,bedroom,candy,planet,33,Stuff at an airport for first class passangers,0.0,24.0
deepseek-chat_run2,1.0,bag,apartment,window,box,34,Things you might use when moving to a new home,1.0,75.0
93926,1.0,option,stress,heavens,punishment,35,words you might hear in a prison,2.0,29.0
92984,1.0,solution,request,confession,anger,36,disagreement,1.0,50.0
93542,1.0,middle,folks,partner,angel,37,broad,2.0,75.0
gpt5_run2,1.0,difference,pleasure,situation,service,38,Aspects of a customer support interaction that might be evaluated in a feedback survey,3.0,10.0
93482,1.0,king,boss,piece,class,39,Things that can describe a societal hierarchy position,0.0,41.0
deepseek-chat_run2,1.0,killer,surprise,space,idiot,40,"Words that can follow ""dead"" to form a common phrase or idiom",1.0,40.0
gpt5_run2,1.0,neck,arm,hat,computer,41,"Things you might adjust for comfort when settling in to use a computer (your neck position, arm position, hat, and the computer itself)",3.0,35.0
92946,1.0,camp,stage,board,shop,42,Family's vacation,2.0,26.0
95028,1.0,truck,store,list,star,43,concepts involved during christmas time,3.0,30.0
