old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
gpt5_run2,0.0,doctor,phone,hand,town,1,Resources people rely on during an emergency in a small town,3.0,15.0
93445,2.0,world,room,mother,woman,2,birth,0.0,93.0
93133,2.0,state,pain,birthday,meeting,3,all things people can be in,3.0,79.0
94916,0.0,office,dog,bed,blood,4,rooms,4.0,69.0
95859,0.0,coffee,hair,food,street,5,Things found walking down state street,0.0,57.0
95983,2.0,boy,house,girl,baby,6,family,0.0,74.0
88939,2.0,summer,evidence,doc,trip,7,All things that could be found on a lake trip gone wrong (like the ones in the murder documentaries),1.0,30.0
87226,0.0,dude,afternoon,message,murder,8,words that have repeating letters,4.0,62.0
gpt5_run2,2.0,word,number,week,part,9,"Things that are typically identified by their position or index in an ordered sequence (e.g., word number, week number, part number)",3.0,35.0
93445,2.0,end,rest,deal,second,12,drug deal,3.0,26.0
94916,0.0,child,city,book,daughter,13,Things that require care,4.0,75.0
deepseek-chat_run2,2.0,mouth,floor,plane,officer,14,"Things that can be ""on the"" in a phrase describing a position or role",3.0,25.0
gpt5_run2,0.0,furniture,clown,towel,corn,15,Things you might find at a childrens summer backyard birthday party,3.0,25.0
deepseek-chat_run1,2.0,case,death,party,couple,16,"Things that can be preceded by the word ""murder""",1.0,60.0
93445,2.0,funeral,arrest,taste,unit,17,death row,1.0,26.0
gpt5_run3,2.0,camera,chicken,wine,park,18,Things commonly involved in a picnic date at a park,1.0,55.0
93445,2.0,drink,movie,picture,shot,19,action film,0.0,77.0
95859,0.0,nose,professor,ground,gold,20,My stats professor,1.0,40.0
95590,0.0,order,system,security,information,21,Things you would need to do in an airport.,1.0,73.0
93445,2.0,lunch,mama,court,lieutenant,22,parent,1.0,47.0
93444,2.0,line,husband,dinner,captain,23,Things that demand order,2.0,7.0
93444,2.0,army,train,card,building,24,Things that help someone to accomplish things,1.0,20.0
94749,0.0,defense,safety,command,permission,26,army,0.0,76.0
92984,1.0,mission,hero,east,enemy,27,conflict,3.0,26.0
gpt5_run1,1.0,hotel,ball,boat,earth,28,Elements of an around-the-world luxury cruise vacation,3.0,35.0
92946,1.0,pattern,temperature,oxygen,movement,29,What are some Biology terms for Physiology?,4.0,4.0
92984,1.0,club,wedding,agent,colonel,30,important things,4.0,6.0
88379,1.0,lawyer,college,bank,letter,31,jobs,2.0,24.0
